"","error","sample.fraction","mtry","min.node.size","honesty.fraction","honesty.prune.leaves","alpha","imbalance.penalty"
"155",473.1419078454,0.407683793408796,33,29,0.78884521657601,1,0.102414017426781,0.63415327131953
"156",469.227710298377,0.305263976298738,35,8,0.787958557135426,0,0.0287108954507858,0.251494056058382
"157",497.062404123261,0.06025484331185,25,52,0.755066880770028,0,0.020972978498321,1.36969802274036
"158",485.701278842202,0.264315032830928,34,35,0.569221365987323,0,0.0112528289901093,2.0236336017881
"159",462.380008468561,0.28781950493576,24,2,0.744087558239698,1,0.0144082061015069,0.72222995123499
"160",498.693454585893,0.258994726033416,31,300,0.707743428694084,0,0.204515055462252,1.30638026102954
"161",474.761162578544,0.229793126625009,13,1,0.737322410265915,0,0.0971803972497582,1.54876677421875
"162",490.911759093803,0.209839459729847,2,3,0.615388701111078,0,0.147183137072716,1.65054101286185
"163",484.700898857076,0.123325516120531,28,11,0.728573290398344,1,0.0752448128187098,0.646286242187187
"164",493.392672357694,0.362088397447951,10,143,0.783526093233377,0,0.105716892634518,1.00205486724565
"165",491.601118934794,0.315086998627521,31,102,0.531877001863904,0,0.199275929946452,1.10762019729931
"166",467.70792974524,0.384966670873109,29,11,0.734461710508913,1,0.0208356741350144,3.00502628598459
"167",503.935162322971,0.0660669584874995,2,185,0.604576316196471,1,0.0304096945910715,2.10798489761589
"168",462.794681555842,0.329110092786141,25,3,0.640366532560438,1,0.187640228308737,0.0464033740635714
"169",469.83257854809,0.433875631808769,9,3,0.626772936270572,1,0.172149821766652,2.19521100850746
"170",470.27829332826,0.489229421748314,11,9,0.612152031296864,0,0.230598115769681,0.445564472457553
"171",489.880525944009,0.249479441822041,1,2,0.744208612060174,0,0.229672625602689,0.804327089215496
"172",484.217319380654,0.450174974580295,8,44,0.526688183308579,0,0.0919840847491287,0.570750739685161
"173",457.44900802145,0.487625616032165,29,5,0.745080069312826,1,0.187366122321691,0.567480151317463
"174",484.960640075609,0.273471472575329,16,29,0.534831892768852,1,0.0668183307861909,0.138568746066428
"175",471.762870397063,0.354826939629857,12,3,0.524265481787734,1,0.191085095226299,0.229189817795939
"176",484.839831427844,0.215647468925454,20,24,0.641152836941183,1,0.0453854507068172,0.133712495117905
"177",478.662770009113,0.378633112891112,7,7,0.770409476966597,0,0.199426617647987,0.689792019160013
"178",456.036140616836,0.478203405207023,34,1,0.565477214753628,1,0.220962215564214,2.35223891108382
"179",492.543947435996,0.301062891096808,1,24,0.624307161616162,0,0.0319949700497091,1.02410262402959
"180",479.910277490763,0.345882738474756,23,40,0.678642451693304,1,0.0813935289043002,0.273946421823678
"181",501.737377358755,0.166957854747307,3,58,0.677844675770029,1,0.0975736018153839,1.28289520274933
"182",490.179838959481,0.455283906753175,23,233,0.562042876123451,0,0.232815849129111,0.733737682399412
